mercado,n_train,acc_ingenuo,acc_xgb,auc_xgb,logloss_xgb,brier_xgb,acc_neutrales,auc_neutrales,n_neutrales,mejora_pp,decision_dashboard
1X2 (todo el dataset),37202,0.5750616522811344,0.5803020961775586,,0.9009327749817033,,0.5286783042394015,,2005.0,0.52,USAR_MODELO
1X2 (solo neutrales),8798,0.5226932668329177,0.5261845386533666,,0.9678445127498547,,,,,0.35,USAR_MODELO
Over/Under 2.5 goles,37202,0.46918180406769133,0.5711845986648036,0.5809660132993709,0.6777513955952152,0.2425387938959198,0.5757266700662927,0.5736568037868068,1961.0,10.2,USAR_MODELO
Both Teams To Score,37202,0.5769290482844279,0.5787921130259277,0.5715761250629561,0.6733628534367,0.24018545236435004,0.5563488016318205,0.5552396802157175,1961.0,0.19,USAR_MODELO
Tarjetas Over/Under 3.5,751,0.5486018641810919,0.559254327563249,0.5928666552109287,0.673738956451416,0.2408733367919922,,,,1.07,USAR_MODELO
Tarjeta Roja,751,,,,,,,,,,USAR_BASELINE_EMPIRICO
